,STATE,DISTRICT,CASES,cluster
431,JHARKHAND,LOHARDAGGA,7166,Very low crime area
432,JHARKHAND,PAKUR,10235,Very low crime area
433,JHARKHAND,PALAMU,26073,Low crime area
434,JHARKHAND,RAMGARH,9037,Very low crime area
435,JHARKHAND,RANCHI,55447,High crime area
436,JHARKHAND,SAHEBGANJ,14020,Very low crime area
437,JHARKHAND,SARAIKELA,12703,Very low crime area
438,JHARKHAND,SIMDEGA,5360,Very low crime area
441,KARNATAKA,BAGALKOT,29193,Low crime area
442,KARNATAKA,BALLARI,3304,Very low crime area
443,KARNATAKA,BANGALORE COMMR.,152842,Very high crime area
444,KARNATAKA,BANGALORE RURAL,83124,High crime area
445,KARNATAKA,BELAGAVI CITY,2395,Very low crime area
446,KARNATAKA,BELAGAVI DISTRICT,4851,Very low crime area
447,KARNATAKA,BELGAUM,80290,High crime area
448,KARNATAKA,BELLARY,45122,Low crime area
449,KARNATAKA,BENGALURU CITY,31892,Low crime area
450,KARNATAKA,BENGALURU DISTRICT,5567,Very low crime area
451,KARNATAKA,BIDAR,53694,High crime area
452,KARNATAKA,BIJAPUR,40556,Low crime area
453,KARNATAKA,CBPURA,13709,Very low crime area
454,KARNATAKA,CHAMARAJNAGAR,21974,Low crime area
455,KARNATAKA,CHICKMAGALUR,37460,Low crime area
456,KARNATAKA,CHIKKABALLAPURA,2405,Very low crime area
457,KARNATAKA,CHIKKAMAGALURU,2877,Very low crime area
458,KARNATAKA,CHITRADURGA,52930,High crime area
459,KARNATAKA,DAKSHIN KANNADA,44331,Low crime area
460,KARNATAKA,DAKSHINA KANNADA,2087,Very low crime area
461,KARNATAKA,DAVANAGERE,43645,Low crime area
462,KARNATAKA,DHARWAD,1219,Very low crime area
463,KARNATAKA,DHARWAD,26206,Low crime area
464,KARNATAKA,DHARWAD COMMR.,14306,Very low crime area
465,KARNATAKA,GADAG,14622,Very low crime area
466,KARNATAKA,GULBARGA,61604,High crime area
467,KARNATAKA,HASSAN,68156,High crime area
468,KARNATAKA,HAVERI,29486,Low crime area
469,KARNATAKA,HUBBALLI DHARWAD CITY,1935,Very low crime area
470,KARNATAKA,K.G.F.,12456,Very low crime area
471,KARNATAKA,K.RAILWAYS,948,Very low crime area
472,KARNATAKA,KALABURGI,4448,Very low crime area
473,KARNATAKA,KODAGU,22576,Low crime area
